100 elements: Time: 00.0,9979 iterations: 1412
200 elements: Time: 00.0,0873 iterations: 4513
300 elements: Time: 00.0,2304 iterations: 12018
400 elements: Time: 00.0,4011 iterations: 21019
500 elements: Time: 00.0,6263 iterations: 33020
600 elements: Time: 00.0,5507 iterations: 33614
700 elements: Time: 00.0,8911 iterations: 50416
800 elements: Time: 00.1,0114 iterations: 57614
900 elements: Time: 00.1,4764 iterations: 76515
1000 elements: Time: 00.2,0093 iterations: 104517
1100 elements: Time: 00.2,6755 iterations: 132018
1200 elements: Time: 00.3,5185 iterations: 171620
1300 elements: Time: 00.3,7625 iterations: 209321
1400 elements: Time: 00.4,8834 iterations: 252022
1500 elements: Time: 00.4,357 iterations: 252019
1600 elements: Time: 00.5,0063 iterations: 285619
1700 elements: Time: 00.6,1978 iterations: 321319
1800 elements: Time: 00.6,4508 iterations: 376220
1900 elements: Time: 00.7,6442 iterations: 418020
2000 elements: Time: 00.9,0628 iterations: 483021
2100 elements: Time: 00.10,4317 iterations: 577523
2200 elements: Time: 00.12,1062 iterations: 683125
2300 elements: Time: 00.15,4461 iterations: 772826
2400 elements: Time: 00.17,1895 iterations: 870027
2500 elements: Time: 00.16,7984 iterations: 942527
2600 elements: Time: 00.17,7057 iterations: 1053028
2700 elements: Time: 00.21,9818 iterations: 1171829
2800 elements: Time: 00.22,842 iterations: 1258629
2900 elements: Time: 00.23,7163 iterations: 1348529
3000 elements: Time: 00.26,1196 iterations: 1488030
3100 elements: Time: 00.28,1221 iterations: 1636831
3200 elements: Time: 00.30,8205 iterations: 1795232
3300 elements: Time: 00.31,5821 iterations: 1851331
3400 elements: Time: 00.35,6843 iterations: 2023032
3500 elements: Time: 00.37,9857 iterations: 2205033
3600 elements: Time: 00.43,0702 iterations: 2397634
3700 elements: Time: 00.45,8298 iterations: 2530834
3800 elements: Time: 00.51,2405 iterations: 2815836
3900 elements: Time: 00.52,2427 iterations: 2964036
4000 elements: Time: 00.53,7741 iterations: 2952034
4100 elements: Time: 00.55,2666 iterations: 3013533
4200 elements: Time: 00.56,6371 iterations: 3160533
4300 elements: Time: 00.56,9185 iterations: 3216432
4400 elements: Time: 00.63,0986 iterations: 3366032
4500 elements: Time: 00.61,5198 iterations: 3519032
4600 elements: Time: 00.62,8876 iterations: 3675432
4700 elements: Time: 00.67,8023 iterations: 3835232
4800 elements: Time: 00.69,2599 iterations: 3998432
4900 elements: Time: 00.74,9328 iterations: 4165032
5000 elements: Time: 00.79,2765 iterations: 4335032
5100 elements: Time: 00.76,1191 iterations: 4508432
5200 elements: Time: 00.79,4213 iterations: 4685232
5300 elements: Time: 00.86,5758 iterations: 4865432
5400 elements: Time: 00.86,5673 iterations: 5049032
5500 elements: Time: 00.95,2473 iterations: 5236032
5600 elements: Time: 00.101,4089 iterations: 5426432
5700 elements: Time: 00.100,9831 iterations: 5620232
5800 elements: Time: 00.102,2054 iterations: 5817432
5900 elements: Time: 00.107,4274 iterations: 6018032
6000 elements: Time: 00.113,0899 iterations: 6222032
6100 elements: Time: 00.114,2114 iterations: 6429432
6200 elements: Time: 00.125,704 iterations: 6640232
6300 elements: Time: 00.121,4485 iterations: 6854432
6400 elements: Time: 00.130,8051 iterations: 7280033
6500 elements: Time: 00.133,4569 iterations: 7507533
6600 elements: Time: 00.143,207 iterations: 7738533
6700 elements: Time: 00.152,9958 iterations: 7973033
6800 elements: Time: 00.143,5431 iterations: 7741831
6900 elements: Time: 00.153,1169 iterations: 7969531
7000 elements: Time: 00.150,0949 iterations: 8200531
7100 elements: Time: 00.148,445 iterations: 8434831
7200 elements: Time: 00.157,7684 iterations: 8672431
7300 elements: Time: 00.163,82 iterations: 8913331
7400 elements: Time: 00.166,9642 iterations: 9157531
7500 elements: Time: 00.167,0493 iterations: 9405031
7600 elements: Time: 00.172,1196 iterations: 9655831
7700 elements: Time: 00.178,4282 iterations: 9909931
7800 elements: Time: 00.189,0141 iterations: 10167331
7900 elements: Time: 00.188,3849 iterations: 10428031
8000 elements: Time: 00.191,9849 iterations: 10692031
8100 elements: Time: 00.191,0113 iterations: 10959331
8200 elements: Time: 00.210,1957 iterations: 11229931
8300 elements: Time: 00.232,3246 iterations: 11852432
8400 elements: Time: 00.232,5229 iterations: 12138032
8500 elements: Time: 00.224,89 iterations: 12427032
8600 elements: Time: 00.241,1173 iterations: 12719432
8700 elements: Time: 00.244,8717 iterations: 13015232
8800 elements: Time: 00.241,28 iterations: 13314432
8900 elements: Time: 00.254,4895 iterations: 14017533
9000 elements: Time: 00.257,9692 iterations: 14332533
9100 elements: Time: 00.257,0491 iterations: 14651033
9200 elements: Time: 00.266,5999 iterations: 14973033
9300 elements: Time: 00.273,7315 iterations: 14861432
9400 elements: Time: 00.289,8543 iterations: 15181032
9500 elements: Time: 00.279,4661 iterations: 15504032
9600 elements: Time: 00.283,5318 iterations: 15830432
9700 elements: Time: 00.304,1772 iterations: 16160232
9800 elements: Time: 00.314,0562 iterations: 16493432
9900 elements: Time: 00.315,5823 iterations: 16830032
10000 elements: Time: 00.315,1889 iterations: 17170032
